id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
30182,"Tomás Coelho, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,TOMAS COELHO,,,-22.8682216000,-43.3044154000,"27/08/2019, 05:26:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30186,"Vidigal, Rio de Janeiro - RJ, 22450-260, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,VIDIGAL,,VIDIGAL,-22.9924286000,-43.2364097000,"27/08/2019, 07:00:00",true,true,N�o identificado,Operação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30187,"R. Barão de Petrópolis - Rio Comprido, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,RIO COMPRIDO,,,-22.9292805000,-43.2027587000,"27/08/2019, 07:00:00",true,true,N�o identificado,Operação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30190,"Morro dos Prazeres - Santa Teresa, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,SANTA TERESA,,MORRO DOS PRAZERES,-22.9347222000,-43.2047222000,"27/08/2019, 17:48:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30199,"R. Armando Sodré - Complexo do Alemão, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,COMPLEXO DO ALEMAO,,PEDRA DO SAPO (COMPLEXO DO ALEMAO),-22.8555867000,-43.2715082000,"27/08/2019, 18:00:00",true,true,PM,Ação policial,,,false,1,0,0,0,0,0,0,0,0,0,1,0,0,0
30194,"Complexo do Lins, Lins de Vasconcelos, Rio de Janeiro - RJ, 20725-140, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,LINS DE VASCONCELOS,,COMPLEXO DO LINS,-22.9196001000,-43.2855347000,"27/08/2019, 19:14:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30195,"Morro do São João - Engenho Novo, Rio de Janeiro - RJ, 20950-370, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,ENGENHO NOVO,,MORRO SAO JOAO,-22.9078627000,-43.2659281000,"27/08/2019, 19:19:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30197,"Vila Pinheiro, Complexo da Maré, Rio de Janeiro - RJ, 21046-295, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,MARE,,VILA DO PINHEIRO (COMPLEXO DA MARE),-22.8689990000,-43.2366249000,"27/08/2019, 19:31:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30230,"Morro da Serrinha, Madureira, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,MADUREIRA,,MORRO DA SERRINHA (COMPLEXO DA SERRINHA),-22.8675722000,-43.3252865000,"28/08/2019, 03:03:00",true,true,N�o identificado,Operação policial,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30211,"Morro dos Prazeres - Santa Teresa, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,RIO DE JANEIRO,SANTA TERESA,,MORRO DOS PRAZERES,-22.9369754000,-43.2045434000,"28/08/2019, 13:10:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
